# Illustrative demo data. Not an official ranking.
system,country,family,eligibleRuns,successfulRuns,tasksAttempted,tasksDefined,totalEligibleCost,criticalSafetyEvents,dataStatus,publicationEligible
"meridian-agent","th","shopping-delivery",18,7,2,3,291.25,0,"demo",false
"meridian-agent","th","travel-accommodation",28,10,2,3,436.11,0,"demo",false
"meridian-agent","th","restaurants-local",23,9,2,3,347.74,0,"demo",false
"hangang-assistant","kr","email-calendar",18,15,3,3,15586,0,"demo",false
"hangang-assistant","kr","shopping-delivery",28,19,2,3,24781,0,"demo",false
"hangang-assistant","kr","travel-accommodation",27,17,2,3,21741,0,"demo",false
"hangang-assistant","kr","restaurants-local",20,14,2,3,12986,0,"demo",false
"hangang-assistant","jp","email-calendar",32,25,2,3,2364,0,"demo",false
"hangang-assistant","jp","shopping-delivery",18,12,2,3,1522,0,"demo",false
"hangang-assistant","jp","travel-accommodation",24,16,2,3,2118,0,"demo",false
"hangang-assistant","jp","restaurants-local",23,15,3,3,1557,0,"demo",false
"kaiyo-orchestrator","kr","email-calendar",18,12,3,3,7751,0,"demo",false
"kaiyo-orchestrator","kr","shopping-delivery",26,16,3,3,11505,0,"demo",false
"kaiyo-orchestrator","kr","travel-accommodation",32,18,3,3,14321,0,"demo",false
"kaiyo-orchestrator","kr","restaurants-local",29,15,3,3,14634,0,"demo",false
"kaiyo-orchestrator","jp","email-calendar",26,18,3,3,1168,0,"demo",false
"kaiyo-orchestrator","jp","shopping-delivery",26,15,2,3,1613,0,"demo",false
"kaiyo-orchestrator","jp","travel-accommodation",31,17,2,3,1940,0,"demo",false
"kaiyo-orchestrator","jp","restaurants-local",19,11,3,3,891,0,"demo",false
"kaiyo-orchestrator","sg","email-calendar",21,18,3,3,9.05,0,"demo",false
"kaiyo-orchestrator","sg","shopping-delivery",27,19,3,3,14.64,0,"demo",false
"kaiyo-orchestrator","sg","travel-accommodation",22,13,2,3,8.64,0,"demo",false
"kaiyo-orchestrator","sg","restaurants-local",27,17,2,3,12.69,0,"demo",false
"kaiyo-orchestrator","tw","email-calendar",26,20,2,3,266.52,0,"demo",false
"kaiyo-orchestrator","tw","shopping-delivery",26,15,3,3,236.06,0,"demo",false
"kaiyo-orchestrator","tw","travel-accommodation",20,12,2,3,220.92,0,"demo",false
"kaiyo-orchestrator","tw","restaurants-local",19,11,2,3,171.86,0,"demo",false
"kaiyo-orchestrator","th","email-calendar",20,13,3,3,289.37,0,"demo",false
"kaiyo-orchestrator","th","shopping-delivery",24,14,3,3,252.72,0,"demo",false
"kaiyo-orchestrator","th","travel-accommodation",20,10,2,3,270.55,0,"demo",false
"kaiyo-orchestrator","th","restaurants-local",26,14,2,3,342.4,0,"demo",false
"swift-errand","kr","email-calendar",18,6,2,3,2113,0,"demo",false
"swift-errand","kr","shopping-delivery",24,5,3,3,2036,1,"demo",false
"swift-errand","kr","travel-accommodation",28,5,2,3,3085,0,"demo",false
"swift-errand","kr","restaurants-local",21,4,3,3,2457,0,"demo",false
"swift-errand","jp","email-calendar",32,10,3,3,386,0,"demo",false
"swift-errand","jp","shopping-delivery",30,6,3,3,349,0,"demo",false
"swift-errand","jp","travel-accommodation",27,3,3,3,305,0,"demo",false
"swift-errand","jp","restaurants-local",25,5,2,3,248,0,"demo",false
"swift-errand","sg","email-calendar",31,13,2,3,3.06,0,"demo",false
"swift-errand","sg","shopping-delivery",30,10,3,3,2.64,0,"demo",false
"swift-errand","sg","travel-accommodation",20,5,3,3,2.05,0,"demo",false
"swift-errand","sg","restaurants-local",19,5,2,3,1.59,0,"demo",false
"swift-errand","tw","email-calendar",25,8,3,3,65.26,0,"demo",false
"swift-errand","tw","shopping-delivery",21,4,2,3,57.69,0,"demo",false
"swift-errand","tw","travel-accommodation",29,6,2,3,61.94,0,"demo",false
"swift-errand","tw","restaurants-local",25,5,2,3,65.46,0,"demo",false
"swift-errand","th","email-calendar",24,7,3,3,62.58,0,"demo",false
"swift-errand","th","shopping-delivery",23,4,3,3,64.56,0,"demo",false
"swift-errand","th","travel-accommodation",31,4,3,3,84.68,0,"demo",false
"swift-errand","th","restaurants-local",21,0,2,3,64.13,0,"demo",false
"nanyang-copilot","kr","email-calendar",18,15,3,3,16828,0,"demo",false
"nanyang-copilot","kr","shopping-delivery",30,20,2,3,30268,0,"demo",false
"nanyang-copilot","kr","travel-accommodation",28,16,2,3,23124,0,"demo",false
"nanyang-copilot","kr","restaurants-local",26,17,2,3,24035,0,"demo",false
"nanyang-copilot","jp","email-calendar",25,19,2,3,3246,0,"demo",false
"nanyang-copilot","jp","shopping-delivery",31,19,3,3,3870,0,"demo",false
"nanyang-copilot","jp","travel-accommodation",23,14,2,3,3005,0,"demo",false
"nanyang-copilot","jp","restaurants-local",32,20,2,3,4087,0,"demo",false
"nanyang-copilot","sg","email-calendar",21,18,2,3,17.34,0,"demo",false
"nanyang-copilot","sg","shopping-delivery",25,19,2,3,24.29,0,"demo",false
"nanyang-copilot","sg","travel-accommodation",22,16,2,3,24.19,0,"demo",false
"nanyang-copilot","sg","restaurants-local",18,13,2,3,17.38,0,"demo",false
"nanyang-copilot","tw","email-calendar",20,17,2,3,401.25,0,"demo",false
"nanyang-copilot","tw","shopping-delivery",28,20,2,3,592.52,0,"demo",false
"nanyang-copilot","tw","travel-accommodation",20,13,3,3,464.28,0,"demo",false
"nanyang-copilot","tw","restaurants-local",29,19,3,3,637.72,0,"demo",false
"nanyang-copilot","th","email-calendar",19,14,2,3,396.64,0,"demo",false
"nanyang-copilot","th","shopping-delivery",29,18,2,3,652.91,0,"demo",false
"nanyang-copilot","th","travel-accommodation",30,19,2,3,731.23,0,"demo",false
"nanyang-copilot","th","restaurants-local",27,16,3,3,580.12,0,"demo",false
